,ID,N_VICTIMAS,FECHA,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,COORDENADAS_X,COORDENADAS_Y,PARTICIPANTES,VICTIMA,ACUSADO,AÑO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE
0,2016-0001,1,2016-01-01,04:00:00,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,19,2016-01-01,1
1,2016-0002,1,2016-01-02,01:15:00,AV GRAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,70,2016-01-02,1
2,2016-0003,1,2016-01-03,07:00:00,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,30,2016-01-03,1
3,2016-0004,1,2016-01-10,00:00:00,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,NO IDENTIFICADO,2016,CONDUCTOR,MASCULINO,18,2016-01-10,1
4,2016-0005,1,2016-01-21,05:20:00,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA,AVENIDA,1,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,29,2016-02-01,1
5,2016-0008,1,2016-01-24,18:30:00,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,30,2016-01-24,1
6,2016-0009,1,2016-01-24,19:10:00,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26,1
7,2016-0010,1,2016-01-29,15:20:00,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,2016,CONDUCTOR,MASCULINO,18,2016-01-29,1
8,2016-0012,1,2016-02-08,01:20:00,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,22,2016-02-08,1
9,2016-0013,1,2016-02-10,11:30:00,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,16,2016-02-10,1
10,2016-0015,1,2016-02-14,05:14:00,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,2016,PEATON,FEMENINO,16,2016-02-14,1
11,2016-0016,1,2016-02-14,22:00:00,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,2016,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,1
12,2016-0017,1,2016-02-15,16:54:00,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,2016,PEATON,MASCULINO,59,2016-02-16,1
13,2016-0019,1,2016-02-17,09:30:00,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA,CALLE,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,65,2016-02-17,1
14,2016-0020,1,2016-02-17,16:00:00,SUIPACHA 156,CALLE,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,2016,PEATON,MASCULINO,59,2016-03-02,1
15,2016-0021,1,2016-02-17,23:35:00,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,2016,CONDUCTOR,MASCULINO,34,2016-02-17,1
16,2016-0022,1,2016-02-21,06:00:00,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-02-21,1
17,2016-0025,1,2016-02-28,04:50:00,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,1
18,2016-0026,1,2016-02-28,07:30:00,HOLMBERG Y VEDIA,CALLE,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2016,CONDUCTOR,MASCULINO,30,2016-03-04,1
19,2016-0027,1,2016-02-28,09:35:00,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,1
20,2016-0028,1,2016-03-02,10:00:00,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,2016,PEATON,MASCULINO,50,2016-03-02,1
21,2016-0029,1,2016-03-04,17:30:00,AV CABILDO Y DEHEZA,AVENIDA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,38,2016-03-04,1
22,2016-0031,1,2016-03-08,12:30:00,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,21,2016-03-08,1
23,2016-0034,1,2016-03-12,12:30:00,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,52,2016-03-12,1
24,2016-0035,1,2016-03-13,06:00:00,AV CORRIENTES Y AV CALLAO,AVENIDA,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,34,2016-03-13,1
25,2016-0036,1,2016-03-14,00:15:00,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14,1
26,2016-0037,1,2016-03-19,11:00:00,AV. EVA PERON Y QUIRNO,AVENIDA,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,2016,CONDUCTOR,MASCULINO,20,2016-03-19,1
27,2016-0038,1,2016-03-21,08:06:00,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,29,2016-03-21,1
28,2016-0039,1,2016-03-23,01:50:00,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS,2016,CONDUCTOR,MASCULINO,20,2016-03-23,1
29,2016-0041,2,2016-03-29,11:00:00,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,2016,CONDUCTOR,MASCULINO,54,2016-03-29,1
30,2016-0041,2,2016-03-29,11:00:00,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,2016,PASAJERO_ACOMPAÑANTE,MASCULINO,42,2016-03-30,1
31,2016-0043,1,2016-03-30,18:15:00,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,2016,PEATON,FEMENINO,56,2016-03-30,1
32,2016-0044,1,2016-03-31,19:40:00,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,2016,CONDUCTOR,MASCULINO,24,2016-03-31,1
33,2016-0045,1,2016-04-11,10:25:00,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO-SD,MOTO,NO IDENTIFICADO,2016,CONDUCTOR,MASCULINO,42,2016-04-11,1
34,2016-0047,1,2016-04-15,05:30:00,LIMA 1483,CALLE,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,MASCULINO,41,2016-04-15,1
35,2016-0048,1,2016-04-15,17:40:00,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS,2016,PEATON,FEMENINO,42,2016-04-15,1
