,Comuna,Poblacion 2010,Crecimiento 2010-2022,Poblacion 2016,Poblacion 2017,Poblacion 2018,Poblacion 2019,Poblacion 2020,Poblacion 2021
0,13,231331,14.64,247686,250522,253391,256292,259227,262195
1,14,225970,10.19,237203,239129,241071,243028,245001,246990
2,12,200116,18.07,217446,220476,223550,226666,229825,233028
3,4,218245,5.81,224495,225554,226618,227687,228761,229840
4,1,205886,8.44,214398,215850,217313,218785,220267,221760
5,7,220591,-1.7,218707,218395,218083,217772,217461,217151
6,8,187237,9.4,195839,197311,198793,200287,201793,203309
7,6,176076,15.73,189418,191738,194087,196464,198871,201307
8,11,189832,7.19,196538,197678,198825,199979,201139,202306
9,15,182574,8.39,190078,191359,192648,193946,195252,196567
10,3,187537,4.22,191453,192113,192776,193441,194109,194778
11,5,179005,8.29,186277,187517,188766,190023,191288,192562
12,10,166022,3.47,168877,169358,169840,170324,170809,171295
13,9,161797,4.78,165618,166264,166912,167563,168216,168872
14,2,157932,0.27,158145,158180,158216,158251,158287,158322
